ops/s, hits/s, miss/s, latency, KB/s
33879.387619, 30799.18, 0.0, 0.528952380952, 1503.25095238
34422.0895238, 29100.157619, 2192.3847619, 0.521428571429, 1527.33238095
46766.517619, 38726.8842857, 3787.85142857, 0.381857142857, 2075.03
57711.7104762, 47489.4161905, 4975.50809524, 0.308428571429, 2560.64190476
68297.1542857, 50104.6785714, 11983.3852381, 0.260047619048, 3030.29142857
78128.5871429, 48254.082381, 22771.6357143, 0.226761904762, 3466.51619048
77270.7071429, 45551.66, 24694.1633333, 0.229285714286, 3428.44666667
76557.6685714, 44789.6333333, 24807.9852381, 0.231428571429, 3396.80761905
74801.1290476, 42582.3719048, 25418.3847619, 0.237095238095, 3318.86761905
72781.8442857, 44838.2947619, 21326.7538095, 0.243523809524, 3229.26809524
