usr, nice, sys, iowait, irq, soft, steal, guest, idle
0.0, 0.0, 46.54, 0.0, 9.2, 11.41, 0.0, 32.85, 0.0
0.0, 0.01, 49.16, 0.0, 5.68, 10.98, 0.0, 34.17, 0.0
0.0, 0.0, 50.87, 0.0, 3.17, 11.54, 0.0, 34.42, 0.0
0.0, 0.0, 50.28, 0.0, 3.44, 11.71, 0.0, 34.57, 0.0
0.0, 0.0, 49.5, 0.0, 3.35, 12.27, 0.01, 34.87, 0.0
0.0, 0.01, 49.74, 0.0, 3.65, 13.24, 0.0, 33.37, 0.0
0.0, 0.0, 49.85, 0.0, 3.6, 13.38, 0.0, 33.17, 0.0
0.0, 0.01, 49.14, 0.0, 3.7, 13.38, 0.0, 33.78, 0.0
0.0, 0.0, 47.93, 0.0, 4.38, 14.41, 0.0, 33.27, 0.0
0.0, 0.01, 48.22, 0.0, 4.43, 14.9, 0.01, 32.43, 0.0
0.0, 0.0, 48.29, 0.0, 4.32, 15.1, 0.0, 32.29, 0.0
0.0, 0.0, 47.35, 0.0, 4.35, 14.92, 0.0, 33.38, 0.0
