ops/s, hits/s, miss/s, latency, KB/s
70198.9785714, 30678.8085714, 33138.1828571, 0.217428571429, 2710.99428571
30069.5985714, 12162.3164286, 15173.5678571, 0.258428571429, 1161.23928571
16626.8303571, 6869.80678571, 8245.43142857, 0.237178571429, 642.105
8461.6275, 3673.25946429, 4019.09785714, 0.242928571429, 326.775714286
4318.20285714, 1818.393125, 2107.22964286, 0.233008928571, 166.762946429
