ops/s, hits/s, miss/s, latency, KB/s,99% latency,usr, nice, sys, iowait, irq, soft, steal, guest, idle
14120.7528571, 24.2942857143, 12812.75, 0.137, 596.814285714,0.322857142857,0.0, 0.01, 11.76, 0.0, 82.29, 3.62, 0.0, 2.32, 0.0
16465.8071429, 30.5057142857, 14938.4057143, 0.238428571429, 696.072857143,0.308571428571,0.0, 0.01, 11.6, 0.0, 82.18, 3.24, 0.0, 2.97, 0.0
17656.2471429, 37.7757142857, 16013.35, 0.335428571429, 746.748571429,0.448571428571,0.0, 0.0, 12.97, 0.0, 81.65, 3.46, 0.0, 1.92, 0.0
17517.0542857, 39.1771428571, 15885.41, 0.454142857143, 740.982857143,0.612857142857,0.0, 0.0, 13.02, 0.0, 81.64, 3.56, 0.0, 1.78, 0.0
16055.1514286, 30.84, 14564.7414286, 0.619571428571, 678.792857143,0.868571428571,0.0, 0.01, 11.69, 0.0, 82.18, 3.16, 0.0, 2.95, 0.0
16003.8128571, 30.0928571429, 14518.8142857, 0.746142857143, 676.578571429,1.08571428571,0.0, 0.01, 11.69, 0.0, 82.2, 3.13, 0.0, 2.98, 0.0
16453.7728571, 32.0, 14925.9585714, 0.851, 695.672857143,1.21428571429,0.0, 0.01, 12.16, 0.0, 82.0, 3.31, 0.0, 2.51, 0.0
17218.3114286, 35.9828571429, 15617.0114286, 0.928571428571, 728.171428571,1.3,0.0, 0.0, 13.2, 0.0, 81.6, 3.5, 0.0, 1.71, 0.0
16604.01, 32.6942857143, 15061.8357143, 1.08728571429, 702.054285714,1.57142857143,0.0, 0.01, 13.11, 0.0, 81.74, 3.25, 0.0, 1.89, 0.0
16777.0728571, 33.7757142857, 15218.0842857, 1.20071428571, 709.422857143,1.57142857143,0.0, 0.0, 12.9, 0.0, 81.73, 3.49, 0.0, 1.88, 0.0
16786.3257143, 33.0285714286, 15227.2457143, 1.31757142857, 709.761428571,1.74285714286,0.0, 0.01, 12.64, 0.0, 81.84, 3.29, 0.0, 2.22, 0.0
17215.5057143, 34.7942857143, 15615.64, 1.39557142857, 727.972857143,1.85714285714,0.0, 0.0, 13.39, 0.0, 81.55, 3.49, 0.0, 1.56, 0.0
15945.5357143, 29.4042857143, 14466.5128571, 1.63114285714, 674.077142857,2.14285714286,0.0, 0.01, 11.86, 0.0, 82.12, 3.15, 0.0, 2.86, 0.0
16998.3142857, 33.4685714286, 15419.5171429, 1.65528571429, 718.727142857,2.14285714286,0.0, 0.01, 13.02, 0.0, 81.65, 3.41, 0.0, 1.91, 0.0
16826.5585714, 32.7314285714, 15264.1028571, 1.78371428571, 711.438571429,2.42857142857,0.0, 0.0, 13.03, 0.0, 81.64, 3.48, 0.0, 1.85, 0.0
17262.0714286, 34.6585714286, 15658.0971429, 1.86657142857, 729.927142857,2.3,0.0, 0.0, 13.34, 0.0, 81.57, 3.44, 0.0, 1.65, 0.0
16971.43, 33.1314285714, 15395.4014286, 2.01171428571, 717.572857143,2.57142857143,0.0, 0.0, 13.07, 0.0, 81.63, 3.46, 0.0, 1.84, 0.0
