CPU, %usr, %nice, %sys %iowait, %irq, %soft  %steal  %guest, %idle
all, 10.65, 0.00, 34.65, 0.02, 0.00, 16.66, 0.00, 0.00, 38.03
0, 0.00, 0.00, 0.10, 0.00, 0.00, 95.45, 0.00, 0.00, 4.45
1, 13.36, 0.00, 41.48, 0.00, 0.00, 0.00, 0.00, 0.00, 45.15
2, 13.07, 0.00, 41.64, 0.10, 0.00, 0.00, 0.00, 0.00, 45.19
3, 12.19, 0.00, 42.09, 0.03, 0.00, 0.00, 0.00, 0.00, 45.68
4, 13.05, 0.00, 42.58, 0.00, 0.00, 0.00, 0.00, 0.00, 44.38
5, 12.81, 0.00, 41.94, 0.00, 0.00, 0.00, 0.00, 0.00, 45.24
