ops/s, hits/s, miss/s, latency, KB/s
20494.6480952, 12057.5652381, 6573.6847619, 0.94780952381, 909.373809524
37722.3571429, 33838.997619, 453.766190476, 0.499952380952, 1673.74619048
37032.0061905, 33655.0671429, 10.1223809524, 0.482333333333, 1643.12904762
34159.3933333, 30504.5614286, 549.150952381, 0.524428571429, 1515.67571429
32072.6647619, 28807.882381, 348.825238095, 0.560523809524, 1423.08761905
31437.8685714, 27976.187619, 603.422380952, 0.57119047619, 1394.92571429
30475.9980952, 27672.4842857, 32.709047619, 0.588761904762, 1352.24333333
29973.3319048, 27130.2228571, 117.991428571, 0.598857142857, 1329.94333333
29690.9371429, 26989.912381, 1.57619047619, 0.605571428571, 1317.40714286
29087.8404762, 26443.2209524, 0.0, 0.617857142857, 1290.65619048
