ops/s, hits/s, miss/s, latency, KB/s,99% latency,usr, nice, sys, iowait, irq, soft, steal, guest, idle
65666.0742857, 11767.1057143, 47929.15, 0.179285714286, 5468.37857143,0.531428571429,0.0, 0.0, 46.26, 0.0, 15.09, 11.34, 0.01, 27.31, 0.0
66779.6842857, 6945.59428571, 53763.06, 0.176285714286, 5561.09714286,0.602857142857,0.0, 0.0, 46.16, 0.0, 14.81, 11.05, 0.01, 27.97, 0.0
68430.9742857, 4790.99428571, 57418.7971429, 0.172, 5698.62714286,0.441428571429,0.0, 0.01, 46.26, 0.0, 14.23, 11.23, 0.01, 28.26, 0.0
67949.0185714, 3625.72285714, 58145.9257143, 0.173, 5658.49142857,0.495714285714,0.0, 0.01, 46.08, 0.0, 14.08, 11.38, 0.01, 28.44, 0.0
68947.5514286, 3037.75, 59641.6985714, 0.170714285714, 5741.62142857,0.508571428571,0.0, 0.01, 46.09, 0.0, 13.89, 10.86, 0.02, 29.13, 0.0
69090.8814286, 2429.66428571, 60380.0342857, 0.170142857143, 5753.58,0.432857142857,0.0, 0.0, 46.41, 0.0, 14.41, 11.05, 0.02, 28.11, 0.0
69489.5471429, 2224.03714286, 60948.13, 0.169571428571, 5786.77,0.44,0.0, 0.05, 46.2, 0.0, 13.64, 11.11, 0.02, 28.98, 0.0
69015.3328571, 1911.79428571, 60829.2557143, 0.170571428571, 5747.33428571,0.507142857143,0.0, 0.0, 46.18, 0.0, 14.09, 11.15, 0.02, 28.56, 0.0
68591.1957143, 1648.76714286, 60706.6957143, 0.171571428571, 5712.14857143,0.55,0.0, 0.05, 45.84, 0.0, 13.76, 11.1, 0.02, 29.23, 0.0
68115.4071429, 1454.60428571, 60468.3157143, 0.172714285714, 5672.76142857,0.471428571429,0.0, 0.0, 45.83, 0.0, 14.05, 11.29, 0.02, 28.81, 0.0
