usr, nice, sys, iowait, irq, soft, steal, guest, idle
0.0, 0.0, 46.26, 0.0, 15.09, 11.34, 0.01, 27.31, 0.0
0.0, 0.0, 46.16, 0.0, 14.81, 11.05, 0.01, 27.97, 0.0
0.0, 0.01, 46.26, 0.0, 14.23, 11.23, 0.01, 28.26, 0.0
0.0, 0.01, 46.08, 0.0, 14.08, 11.38, 0.01, 28.44, 0.0
0.0, 0.01, 46.09, 0.0, 13.89, 10.86, 0.02, 29.13, 0.0
0.0, 0.0, 46.41, 0.0, 14.41, 11.05, 0.02, 28.11, 0.0
0.0, 0.05, 46.2, 0.0, 13.64, 11.11, 0.02, 28.98, 0.0
0.0, 0.0, 46.18, 0.0, 14.09, 11.15, 0.02, 28.56, 0.0
0.0, 0.05, 45.84, 0.0, 13.76, 11.1, 0.02, 29.23, 0.0
0.0, 0.0, 45.83, 0.0, 14.05, 11.29, 0.02, 28.81, 0.0
