ops/s, hits/s, miss/s, latency, KB/s
34629.5214286, 20051.1842857, 11430.1528571, 0.111571428571, 1337.33428571
49091.1314286, 26371.9757143, 18256.2042857, 0.159, 1895.83428571
53917.9857143, 27348.8528571, 21667.3342857, 0.218571428571, 2082.23285714
57254.8914286, 23169.4928571, 28880.1628571, 0.275571428571, 2211.09571429
56726.1828571, 24057.7028571, 27511.24, 0.348857142857, 2190.67714286
60345.3242857, 24550.1742857, 30308.8471429, 0.394, 2330.41571429
61117.5985714, 22509.7357143, 33051.3171429, 0.454428571429, 2360.24
59242.5342857, 17789.8714286, 36066.5042857, 0.536428571429, 2287.77428571
62336.83, 18258.6085714, 38410.6542857, 0.574, 2407.24857143
62827.62, 15909.81, 41205.5642857, 0.654714285714, 2426.22142857
64727.7314286, 17039.34, 41803.3185714, 0.677571428571, 2499.60714286
59420.8757143, 13880.8857143, 40137.4171429, 0.778428571429, 2294.62857143
58409.8642857, 13728.5142857, 39370.5428571, 0.887428571429, 2255.60285714
56835.21, 12493.9742857, 39173.5785714, 0.982142857143, 2194.79285714
69877.29, 14573.5585714, 48950.2942857, 0.856142857143, 2698.42571429
57957.55, 11185.9428571, 41501.7057143, 1.10071428571, 2238.13714286
61083.4171429, 11741.7471429, 43787.5628571, 1.09542857143, 2358.84571429
64752.9885714, 11078.6614286, 47786.54, 1.11071428571, 2500.54428571
58982.4057143, 8999.70857143, 44619.4457143, 1.28571428571, 2277.73428571
58635.2814286, 8928.00285714, 44375.6185714, 1.36142857143, 2264.32428571
76266.8214286, 11679.33, 57652.8514286, 1.13614285714, 2945.17714286
64965.8657143, 9137.04, 49921.5042857, 1.35185714286, 2508.78428571
57794.5871429, 7777.25428571, 44761.8157143, 1.58928571429, 2231.87857143
70346.5614286, 8936.52571429, 55013.4257143, 1.36257142857, 2716.57571429
65000.37, 7980.79428571, 51108.9442857, 1.535, 2510.14428571
59272.4442857, 6531.81571429, 47350.7114286, 1.75142857143, 2288.96285714
62953.66, 7311.31, 49917.6371429, 1.71371428571, 2431.11
72430.4071429, 8547.23428571, 57296.9042857, 1.544, 2797.06428571
71576.2571429, 7582.58285714, 57484.9085714, 1.61785714286, 2764.08285714
64867.7157143, 6331.41571429, 52637.2985714, 1.84671428571, 2505.05
64980.5185714, 6319.97142857, 52751.3285714, 1.90557142857, 2509.39142857
60594.6385714, 5675.43142857, 49408.62, 2.11342857143, 2340.03714286
66471.1057143, 6414.85428571, 54011.3885714, 1.91971428571, 2566.96857143
68085.1471429, 6231.33142857, 55662.1157143, 1.99514285714, 2629.29714286
59782.0857143, 4277.40428571, 50067.76, 2.34114285714, 2308.66714286
65963.3, 5741.49142857, 54222.8571429, 2.18571428571, 2547.36857143
81422.2285714, 14081.5785714, 59936.3271429, 1.877, 3144.35857143
74606.1971429, 9743.54428571, 58077.9171429, 2.26314285714, 2881.12571429
86432.5342857, 15517.7885714, 63054.8085714, 1.974, 3337.83
84616.7928571, 11633.3657143, 65288.4857143, 2.029, 3267.68428571
110097.465714, 24020.4785714, 76065.4557143, 1.63514285714, 4251.71428571
104542.164286, 21819.6028571, 73216.1757143, 1.72385714286, 4037.14285714
96953.1585714, 24534.0185714, 63602.1585714, 1.91742857143, 3744.12857143
105792.557143, 20178.81, 75993.6357143, 1.82585714286, 4085.43428571
103171.572857, 20811.8385714, 72977.8142857, 1.88942857143, 3984.25
121163.364286, 33843.2485714, 76302.7142857, 1.80785714286, 4679.00714286
118074.941429, 15443.2957143, 91894.6785714, 1.71928571429, 4559.72714286
124621.54, 25578.77, 87710.5628571, 1.72485714286, 4812.54857143
121409.637143, 21930.2528571, 88439.1957143, 1.71728571429, 4688.52571429
118379.565714, 16235.5371429, 91379.15, 1.77242857143, 4571.50857143
