usr, nice, sys, iowait, irq, soft, steal, guest, idle
0.0, 0.01, 23.56, 0.0, 65.2, 6.54, 0.04, 4.66, 0.0
0.0, 0.01, 33.58, 0.0, 40.62, 9.32, 0.03, 16.43, 0.0
0.0, 0.01, 38.6, 0.0, 30.0, 10.5, 0.01, 20.87, 0.0
0.0, 0.01, 41.84, 0.0, 23.32, 11.07, 0.01, 23.76, 0.0
0.0, 0.01, 43.41, 0.0, 18.43, 10.93, 0.01, 27.22, 0.0
0.0, 0.0, 44.68, 0.0, 15.56, 10.79, 0.01, 28.96, 0.0
0.0, 0.0, 45.7, 0.0, 12.92, 11.18, 0.0, 30.2, 0.0
0.0, 0.01, 46.78, 0.0, 11.86, 10.78, 0.0, 30.58, 0.0
0.0, 0.01, 46.95, 0.0, 10.68, 11.02, 0.0, 31.35, 0.0
0.0, 0.0, 47.71, 0.0, 9.88, 10.67, 0.0, 31.73, 0.0
0.0, 0.0, 47.52, 0.0, 9.4, 11.27, 0.0, 31.82, 0.0
0.0, 0.04, 47.81, 0.0, 9.45, 10.86, 0.0, 31.84, 0.0
0.0, 0.0, 47.53, 0.0, 9.34, 11.12, 0.0, 32.02, 0.0
0.0, 0.04, 48.51, 0.0, 9.48, 10.85, 0.0, 31.12, 0.0
0.0, 0.0, 48.06, 0.0, 9.38, 10.8, 0.0, 31.76, 0.0
0.0, 0.0, 47.22, 0.0, 9.35, 10.84, 0.0, 32.59, 0.0
0.0, 0.02, 47.08, 0.0, 9.3, 10.77, 0.0, 32.83, 0.0
0.0, 0.0, 46.9, 0.0, 9.34, 11.18, 0.01, 32.58, 0.0
0.0, 0.0, 46.96, 0.0, 9.33, 11.04, 0.0, 32.68, 0.0
0.0, 0.0, 47.11, 0.0, 9.29, 10.71, 0.0, 32.89, 0.0
