cpu, latency, 99th
58.2733333333, 0.266285714286, 0.96761904762
60.64, 1.25452380952, 3.74761904762
61.2933333333, 1.59628571428, 4.85238095238
62.8066666667, 1.64523809524, 5.87619047619
62.96, 1.15585714286, 4.58571428571
63.2366666667, 1.28104761905, 5.14761904762
64.2233333333, 1.24085714286, 5.24285714286
65.22, 1.11276190476, 5.27142857143
65.7533333333, 1.20447619048, 6.0
66.88, 1.20595238095, 5.71428571429
67.6833333333, 1.26280952381, 4.71904761905
68.0033333333, 1.47480952381, 5.79523809524
68.9433333333, 1.52680952381, 5.31904761905
69.6966666667, 1.02880952381, 4.06190476191
70.0466666667, 1.53352380952, 8.18571428571
71.2833333333, 1.33328571429, 5.97142857143
73.4266666667, 1.3290952381, 4.62380952381
75.8366666667, 1.426, 6.41428571429
78.0166666667, 1.28147619048, 3.87142857143
82.1566666667, 1.21457142857, 3.50952380952
