usr, nice, sys, iowait, irq, soft, steal, guest, idle
0.0, 0.02, 16.31, 0.0, 76.5, 4.08, 0.03, 3.06, 0.0
0.0, 0.01, 44.85, 0.0, 24.57, 12.4, 0.06, 18.11, 0.0
0.0, 0.0, 44.98, 0.0, 23.17, 12.3, 0.04, 19.5, 0.0
0.0, 0.01, 43.96, 0.0, 25.2, 12.75, 0.04, 18.03, 0.0
0.0, 0.01, 45.5, 0.0, 24.57, 12.88, 0.03, 17.02, 0.0
0.0, 0.01, 44.58, 0.0, 24.95, 12.53, 0.06, 17.88, 0.0
0.0, 0.01, 44.51, 0.0, 25.34, 12.61, 0.06, 17.47, 0.0
0.0, 0.01, 43.68, 0.0, 26.59, 12.3, 0.05, 17.38, 0.0
0.0, 0.01, 42.2, 0.0, 29.61, 12.23, 0.04, 15.9, 0.0
0.0, 0.01, 35.11, 0.0, 43.99, 10.1, 0.05, 10.74, 0.0
0.0, 0.01, 29.6, 0.0, 54.5, 7.44, 0.04, 8.41, 0.0
0.0, 0.02, 22.24, 0.0, 67.62, 5.46, 0.02, 4.64, 0.0
0.0, 0.02, 15.58, 0.0, 77.69, 3.76, 0.03, 2.91, 0.0
0.0, 0.01, 11.88, 0.0, 83.31, 2.76, 0.01, 2.03, 0.0
0.0, 0.02, 8.83, 0.0, 87.9, 2.04, 0.02, 1.2, 0.0
0.0, 0.02, 7.27, 0.0, 90.15, 1.72, 0.01, 0.83, 0.0
0.0, 0.02, 5.3, 0.0, 92.96, 1.17, 0.01, 0.54, 0.0
0.0, 0.02, 4.58, 0.0, 93.85, 0.97, 0.01, 0.58, 0.0
0.0, 0.02, 4.34, 0.0, 93.92, 0.94, 0.01, 0.77, 0.0
