ops/s, hits/s, miss/s, latency, KB/s,99% latency,usr, nice, sys, iowait, irq, soft, steal, guest, idle
10442.5414286, 8538.14571429, 954.97, 0.571857142857, 375.278571429,1.9,0.0, 0.02, 16.31, 0.0, 76.5, 4.08, 0.03, 3.06, 0.0
45151.2114286, 24939.5671429, 16106.8928571, 0.129428571429, 1630.64285714,0.365714285714,0.0, 0.01, 44.85, 0.0, 24.57, 12.4, 0.06, 18.11, 0.0
45760.1142857, 25615.9928571, 15984.0185714, 0.127857142857, 1668.88285714,0.341428571429,0.0, 0.0, 44.98, 0.0, 23.17, 12.3, 0.04, 19.5, 0.0
44460.5542857, 24148.9214286, 16269.6771429, 0.131428571429, 1653.06714286,0.381428571429,0.0, 0.01, 43.96, 0.0, 25.2, 12.75, 0.04, 18.03, 0.0
44867.5771429, 24621.5842857, 16167.0214286, 0.130428571429, 1731.93714286,0.367142857143,0.0, 0.01, 45.5, 0.0, 24.57, 12.88, 0.03, 17.02, 0.0
44773.9814286, 24818.3157143, 15885.2114286, 0.130571428571, 1855.52142857,0.367142857143,0.0, 0.01, 44.58, 0.0, 24.95, 12.53, 0.06, 17.88, 0.0
44510.6857143, 24286.1957143, 16177.9614286, 0.131428571429, 2097.52285714,0.364285714286,0.0, 0.01, 44.51, 0.0, 25.34, 12.61, 0.06, 17.47, 0.0
42756.7285714, 22975.0985714, 15894.5528571, 0.136714285714, 2500.75571429,0.391428571429,0.0, 0.01, 43.68, 0.0, 26.59, 12.3, 0.05, 17.38, 0.0
38868.4728571, 19748.5342857, 15586.3371429, 0.150857142857, 3156.74714286,0.402857142857,0.0, 0.01, 42.2, 0.0, 29.61, 12.23, 0.04, 15.9, 0.0
29074.9185714, 12644.3585714, 13787.3157143, 0.202571428571, 3682.97,0.374285714286,0.0, 0.01, 35.11, 0.0, 43.99, 10.1, 0.05, 10.74, 0.0
20154.7785714, 6819.77428571, 11502.6485714, 0.293714285714, 4385.44,0.645714285714,0.0, 0.01, 29.6, 0.0, 54.5, 7.44, 0.04, 8.41, 0.0
13702.8214286, 3604.26285714, 8852.76285714, 0.434142857143, 5473.19714286,1.14285714286,0.0, 0.02, 22.24, 0.0, 67.62, 5.46, 0.02, 4.64, 0.0
8931.93, 1823.13714286, 6296.69428571, 0.671428571429, 6816.19857143,1.98571428571,0.0, 0.02, 15.58, 0.0, 77.69, 3.76, 0.03, 2.91, 0.0
6301.21714286, 876.954285714, 4851.33714286, 0.947857142857, 9392.19285714,2.97142857143,0.0, 0.01, 11.88, 0.0, 83.31, 2.76, 0.01, 2.03, 0.0
3999.71142857, 394.82, 3241.19142857, 1.498, 11781.4871429,5.05714285714,0.0, 0.02, 8.83, 0.0, 87.9, 2.04, 0.02, 1.2, 0.0
2542.44857143, 150.538571429, 2160.65857143, 2.34528571429, 14890.7585714,6.9,0.0, 0.02, 7.27, 0.0, 90.15, 1.72, 0.01, 0.83, 0.0
1407.21, 39.4785714286, 1239.68857143, 4.25271428571, 16439.9728571,6.24285714286,0.0, 0.02, 5.3, 0.0, 92.96, 1.17, 0.01, 0.54, 0.0
726.782857143, 10.4142857143, 650.16, 8.26742857143, 16973.8242857,7.14285714286,0.0, 0.02, 4.58, 0.0, 93.85, 0.97, 0.01, 0.58, 0.0
354.488571429, 2.22571428571, 319.877142857, 16.893, 16594.9185714,4.94285714286,0.0, 0.02, 4.34, 0.0, 93.92, 0.94, 0.01, 0.77, 0.0
