ops/s, hits/s, miss/s, latency, KB/s
45187.8, 24789.9328571, 16289.7971429, 0.129285714286, 1623.94142857
45284.4014286, 25223.7857143, 15943.7614286, 0.128857142857, 1635.45285714
44594.8457143, 24621.5014286, 15919.1828571, 0.131142857143, 1626.39
45028.4985714, 24964.23, 15970.6957143, 0.129714285714, 1674.18285714
44118.36, 24133.8771429, 15973.63, 0.132714285714, 1703.01571429
44565.2414286, 24106.7214286, 16407.0385714, 0.131285714286, 1846.87428571
44533.7585714, 24645.1342857, 15840.0185714, 0.131428571429, 2098.60714286
42718.1557143, 23205.5528571, 15629.0428571, 0.137285714286, 2498.49714286
39168.2814286, 19882.6685714, 15724.7628571, 0.149857142857, 3181.09142857
29218.6442857, 12656.3314286, 13905.9914286, 0.201857142857, 3701.18714286
20334.5342857, 6768.36571429, 11717.4857143, 0.291, 4424.53
13650.8085714, 3592.04, 8817.72142857, 0.437571428571, 5452.35714286
9134.51571429, 1820.22, 6483.79142857, 0.653285714286, 6970.67
6158.47857143, 872.815714286, 4725.70428571, 0.97, 9179.57
4182.5, 393.042857143, 3409.13285714, 1.43242857143, 12319.9342857
2575.54285714, 148.314285714, 2192.97714286, 2.323, 15084.1114286
1405.51571429, 39.16, 1238.46428571, 4.25814285714, 16420.1828571
718.904285714, 10.4357142857, 642.96, 8.33557142857, 16795.5414286
364.394285714, 2.39285714286, 328.712857143, 16.452, 17057.9285714
