ops/s, hits/s, miss/s, latency, KB/s,99% latency,usr, nice, sys, iowait, irq, soft, steal, guest, idle
77552.8180952, 45386.74, 25115.5952381, 0.383238095238, 3441.00809524,0.675714285714,13.4766666667, 0.0, 50.28, 0.0, 0.00333333333333, 34.2366666667, 0.0, 0.0, 2.00666666667
78821.8080952, 46309.1938095, 25346.7619048, 0.377285714286, 3936.56428571,0.64,13.33, 0.0, 50.5833333333, 0.0, 0.0, 34.2966666667, 0.0, 0.0, 1.79666666667
55951.3204762, 44603.6495238, 6260.95952381, 0.53219047619, 3424.20095238,0.955714285714,15.07, 0.0, 49.7833333333, 0.0, 0.0366666666667, 23.6133333333, 0.0, 0.0, 11.5
37911.5828571, 25896.3371429, 8568.5147619, 0.787952380952, 3177.70809524,1.2,12.2433333333, 0.0, 40.7666666667, 0.01, 0.0433333333333, 18.41, 0.0, 0.0, 28.5233333333
23983.6185714, 14400.2795238, 7402.77761905, 1.2469047619, 3097.97285714,2.12857142857,8.08666666667, 0.0, 27.5033333333, 0.0133333333333, 0.0266666666667, 9.05, 0.0, 0.0, 55.31
14533.7209524, 7324.59142857, 5887.65952381, 2.06304761905, 3197.37333333,4.34285714286,5.56333333333, 0.0, 21.8166666667, 0.0133333333333, 0.0233333333333, 6.46, 0.0, 0.0, 66.12
4488.51285714, 4080.24142857, 0.0, 6.681, 1803.82380952,8.69047619048,2.32333333333, 0.0, 10.22, 0.0133333333333, 0.00666666666667, 1.48333333333, 0.0, 0.0, 85.9566666667
2277.45666667, 2070.19047619, 0.0, 13.1738571429, 1744.4947619,17.2380952381,1.42666666667, 0.0, 6.54333333333, 0.0133333333333, 0.0, 0.766666666667, 0.0, 0.0, 91.24
1143.08952381, 1038.96333333, 0.0, 26.2607142857, 1709.27333333,33.6666666667,0.833333333333, 0.0, 4.75333333333, 0.02, 0.0, 0.553333333333, 0.0, 0.0, 93.8366666667
577.031904762, 524.343809524, 0.0, 52.116, 1707.77809524,73.9047619048,0.446666666667, 0.0, 3.57333333333, 0.02, 0.0, 4.63, 0.0, 0.0, 91.3266666667
288.003333333, 261.602857143, 0.0, 104.454714286, 1700.42857143,139.523809524,0.263333333333, 0.0, 3.12666666667, 0.0166666666667, 0.0, 3.48666666667, 0.0, 0.0, 93.1066666667
143.133333333, 129.889047619, 0.0, 209.969380952, 1700.69095238,338.095238095,0.193333333333, 0.0, 2.52, 0.0166666666667, 0.0, 2.65666666667, 0.0, 0.0, 94.6166666667
72.580952381, 65.3847619048, 0.361904761905, 415.653333333, 1752.2547619,929.523809524,0.136666666667, 0.0, 2.05, 0.02, 0.0, 2.41333333333, 0.0, 0.0, 95.3833333333
35.8933333333, 32.3942857143, 0.0, 839.171571429, 1793.14428571,1985.71428571,0.116666666667, 0.0, 1.84666666667, 0.0166666666667, 0.0, 1.84, 0.0, 0.0, 96.18
