usr, nice, sys, iowait, irq, soft, steal, guest, idle
0.0, 0.01, 49.33, 0.0, 10.79, 12.76, 0.0, 27.11, 0.0
0.0, 0.02, 48.54, 0.0, 10.67, 12.47, 0.0, 28.31, 0.0
0.0, 0.01, 48.29, 0.0, 10.59, 12.15, 0.0, 28.97, 0.0
0.0, 0.01, 47.5, 0.0, 10.84, 12.25, 0.0, 29.4, 0.0
0.0, 0.01, 46.17, 0.0, 12.63, 12.05, 0.0, 29.14, 0.0
0.0, 0.02, 47.6, 0.0, 11.2, 12.2, 0.0, 28.99, 0.0
0.0, 0.02, 47.31, 0.0, 10.98, 12.48, 0.0, 29.21, 0.0
0.0, 0.02, 47.52, 0.0, 11.57, 12.36, 0.0, 28.54, 0.0
0.0, 0.02, 47.05, 0.0, 12.86, 12.58, 0.01, 27.49, 0.0
0.0, 0.01, 44.85, 0.0, 18.44, 13.4, 0.0, 23.31, 0.0
0.0, 0.02, 40.89, 0.0, 27.2, 11.74, 0.02, 20.13, 0.0
0.0, 0.02, 33.95, 0.0, 41.27, 10.95, 0.02, 13.79, 0.0
0.0, 0.03, 27.61, 0.0, 54.04, 8.94, 0.03, 9.36, 0.0
0.0, 0.03, 20.36, 0.0, 67.45, 6.27, 0.03, 5.86, 0.0
0.0, 0.03, 15.0, 0.0, 74.59, 4.85, 0.02, 5.5, 0.0
0.0, 0.03, 10.23, 0.0, 80.11, 2.8, 0.01, 6.81, 0.0
0.0, 0.03, 7.96, 0.0, 83.56, 2.01, 0.01, 6.43, 0.0
0.0, 0.03, 6.95, 0.0, 85.32, 1.49, 0.01, 6.21, 0.0
0.0, 0.03, 6.54, 0.0, 86.29, 1.25, 0.01, 5.88, 0.0
