ops/s, hits/s, miss/s, latency, KB/s
17818.6142857, 677.468571429, 15520.2228571, 3.59085714286, 688.13
34530.8357143, 3388.08714286, 28002.6285714, 1.79757142857, 1333.49857143
44671.1342857, 6425.74, 34183.4171429, 1.41314285714, 1725.06857143
64150.7514286, 10304.3871429, 48013.4928571, 0.995428571429, 2477.29142857
77724.2571429, 17237.6528571, 53419.7085714, 0.848571428571, 3001.45571429
81606.7771429, 19769.65, 54417.4214286, 0.755571428571, 3151.37714286
84159.5157143, 17092.9514286, 59414.7314286, 0.757142857143, 3249.93857143
83509.6314286, 17237.6285714, 58679.2071429, 0.762571428571, 3224.83857143
82568.0314286, 16330.9914286, 58729.9042857, 0.771428571429, 3188.47714286
84739.8071429, 16300.4957143, 60734.7342857, 0.777571428571, 3272.33857143
82116.6328571, 15097.5371429, 59553.0014286, 0.775571428571, 3171.04285714
79513.6557143, 15530.63, 56753.5657143, 0.775285714286, 3070.53285714
78589.13, 13367.9042857, 58075.78, 0.784142857143, 3034.82714286
81244.9642857, 14260.4271429, 59597.6771429, 0.783857142857, 3137.38571429
81514.5957143, 14789.6057143, 59313.5828571, 0.781, 3147.79571429
84096.3942857, 15911.7914286, 60538.4285714, 0.783571428571, 3247.5
81064.9942857, 15005.4142857, 58689.0414286, 0.785571428571, 3130.43857143
83829.3185714, 16331.4528571, 59876.0142857, 0.786, 3237.18714286
81295.5914286, 16692.2257143, 57211.9314286, 0.783428571429, 3139.34714286
80165.8671429, 14160.5071429, 58716.5714286, 0.794571428571, 3095.71714286
80449.6642857, 15040.3942857, 58094.7014286, 0.788428571429, 3106.67714286
80038.9685714, 14584.2914286, 58177.4571429, 0.795857142857, 3090.81571429
78089.3957143, 14949.8214286, 56039.58, 0.789285714286, 3015.53428571
80607.8071429, 14320.6542857, 58958.1757143, 0.79, 3112.78142857
77480.9242857, 14082.2128571, 56354.0314286, 0.795571428571, 2992.03428571
80743.02, 15579.8028571, 57821.9271429, 0.788571428571, 3118.00857143
80828.2714286, 17408.89, 56070.4328571, 0.787714285714, 3121.29571429
82746.0728571, 15658.5685714, 59564.1171429, 0.796285714286, 3195.35285714
82704.7728571, 16165.9742857, 59019.1942857, 0.796571428571, 3193.76142857
80065.5042857, 16570.1028571, 56215.71, 0.795285714286, 3091.84428571
80051.3928571, 15405.4371429, 57367.5242857, 0.795571428571, 3091.3
78945.9514286, 13975.0157143, 57793.0228571, 0.806571428571, 3048.61
79935.2757143, 15356.4314286, 57311.04, 0.796714285714, 3086.81
77288.68, 16096.6942857, 54164.8014286, 0.797428571429, 2984.61714286
79652.3128571, 16695.6642857, 55714.5757143, 0.799428571429, 3075.88428571
81969.9457143, 16491.1842857, 58025.8771429, 0.803714285714, 3165.39
80738.0914286, 18801.7814286, 54595.4928571, 0.798, 3117.82142857
78447.1642857, 16870.1442857, 54444.5114286, 0.812, 3029.35142857
81841.3728571, 19463.6028571, 54936.62, 0.790857142857, 3160.43428571
78872.6914286, 19240.3057143, 52461.2142857, 0.807714285714, 3045.79428571
78391.12, 16577.6614286, 54686.0557143, 0.798285714286, 3027.18714286
75046.8842857, 15870.1671429, 52353.3771429, 0.821428571429, 2898.04142857
78805.6571429, 16908.0714286, 54732.4785714, 0.808285714286, 3043.19428571
79220.9128571, 18960.4142857, 53057.5857143, 0.804, 3059.24142857
79072.15, 17782.4328571, 54100.4214286, 0.805571428571, 3053.48857143
80306.0871429, 17392.0142857, 55612.5057143, 0.820714285714, 3101.13428571
79631.0657143, 21016.3814286, 51374.4757143, 0.799714285714, 3075.08
81341.2142857, 20748.8985714, 53196.66, 0.810142857143, 3141.11571429
78642.3128571, 16661.3142857, 54830.7314286, 0.809714285714, 3036.89428571
76203.85, 16169.1857143, 53106.0814286, 0.809, 2942.72428571
77444.4757143, 16080.8342857, 54322.23, 0.822285714286, 2990.63714286
78062.4585714, 16384.1942857, 54580.68, 0.816, 3014.50142857
79450.0014286, 22060.4171429, 50165.9371429, 0.802428571429, 3068.08857143
78439.8557143, 17455.7214286, 53852.2585714, 0.812, 3029.07285714
79943.5028571, 17746.9885714, 54927.9214286, 0.809, 3087.13857143
78659.6714286, 16838.3557143, 54669.4957143, 0.809714285714, 3037.55428571
81173.2328571, 17432.31, 56360.5128571, 0.811714285714, 3134.62428571
79474.49, 19589.3371429, 52659.2371429, 0.801428571429, 3069.02714286
78582.7628571, 15393.6885714, 56044.2057143, 0.815142857143, 3034.58857143
75073.1057143, 15583.0457143, 52664.2457143, 0.843428571429, 2899.06285714
79028.8085714, 19135.1, 52708.3157143, 0.807428571429, 3051.82
