usr, nice, sys, iowait, irq, soft, steal, guest, idle
0.0, 0.0, 35.15, 0.0, 44.86, 9.53, 0.03, 10.43, 0.0
0.0, 0.04, 42.21, 0.0, 29.25, 10.53, 0.01, 17.96, 0.0
0.0, 0.02, 43.01, 0.0, 28.13, 10.47, 0.0, 18.37, 0.0
0.0, 0.03, 41.33, 0.0, 29.33, 10.23, 0.0, 19.08, 0.0
0.0, 0.01, 42.22, 0.0, 28.66, 10.31, 0.0, 18.8, 0.0
0.0, 0.01, 42.21, 0.0, 28.09, 10.67, 0.0, 19.04, 0.0
0.0, 0.01, 42.48, 0.0, 28.27, 10.3, 0.0, 18.94, 0.0
0.0, 0.02, 42.03, 0.0, 26.41, 10.63, 0.01, 20.89, 0.0
0.0, 0.01, 41.28, 0.0, 27.95, 10.7, 0.0, 20.05, 0.0
0.0, 0.02, 41.72, 0.0, 26.89, 10.67, 0.0, 20.71, 0.0
0.0, 0.02, 41.94, 0.0, 28.11, 10.78, 0.0, 19.15, 0.0
0.0, 0.02, 42.33, 0.0, 27.35, 10.76, 0.0, 19.54, 0.0
0.0, 0.04, 42.47, 0.0, 27.84, 10.75, 0.0, 18.9, 0.0
0.0, 0.01, 42.38, 0.0, 28.49, 10.7, 0.0, 18.42, 0.0
0.0, 0.01, 42.44, 0.0, 27.67, 11.06, 0.0, 18.82, 0.0
0.0, 0.01, 42.56, 0.0, 28.11, 10.95, 0.0, 18.37, 0.0
0.0, 0.01, 42.52, 0.0, 28.27, 10.55, 0.0, 18.65, 0.0
0.0, 0.03, 41.54, 0.0, 28.48, 10.74, 0.01, 19.2, 0.0
0.0, 0.01, 41.74, 0.0, 28.37, 10.55, 0.0, 19.34, 0.0
0.0, 0.02, 41.84, 0.0, 28.12, 10.98, 0.0, 19.04, 0.0
