usr, nice, sys, iowait, irq, soft, steal, guest, idle
0.0, 0.01, 11.55, 0.0, 81.18, 3.31, 0.02, 3.94, 0.0
0.0, 0.02, 11.44, 0.0, 81.1, 3.36, 0.02, 4.05, 0.0
0.0, 0.01, 11.37, 0.0, 82.01, 3.29, 0.02, 3.31, 0.0
0.0, 0.0, 11.98, 0.0, 80.77, 3.36, 0.02, 3.87, 0.0
0.0, 0.01, 11.7, 0.0, 81.26, 3.4, 0.02, 3.61, 0.0
0.0, 0.01, 11.65, 0.0, 81.3, 3.32, 0.02, 3.7, 0.0
0.0, 0.01, 12.0, 0.0, 80.76, 3.51, 0.02, 3.7, 0.0
0.0, 0.01, 11.05, 0.0, 82.25, 3.1, 0.02, 3.58, 0.0
0.0, 0.01, 10.68, 0.0, 82.93, 2.96, 0.02, 3.4, 0.0
0.0, 0.01, 9.03, 0.0, 86.06, 2.61, 0.02, 2.28, 0.0
0.0, 0.01, 7.98, 0.0, 88.04, 1.99, 0.01, 1.97, 0.0
0.0, 0.01, 6.09, 0.0, 91.24, 1.5, 0.01, 1.15, 0.0
0.0, 0.01, 4.38, 0.0, 93.94, 1.03, 0.01, 0.63, 0.0
0.0, 0.01, 3.03, 0.0, 95.78, 0.73, 0.01, 0.44, 0.0
0.0, 0.01, 2.75, 0.0, 96.3, 0.62, 0.0, 0.33, 0.0
0.0, 0.01, 1.93, 0.0, 97.46, 0.41, 0.0, 0.19, 0.0
0.0, 0.02, 1.64, 0.0, 97.79, 0.37, 0.0, 0.18, 0.0
0.0, 0.01, 1.33, 0.0, 98.23, 0.29, 0.01, 0.13, 0.0
0.0, 0.01, 1.31, 0.0, 98.28, 0.26, 0.0, 0.14, 0.0
