ops/s, hits/s, miss/s, latency, KB/s,99% latency,usr, nice, sys, iowait, irq, soft, steal, guest, idle
34852.36, 20400.7314286, 11283.1628571, 0.111285714286, 1252.49714286,0.247142857143,0.0, 0.01, 11.55, 0.0, 81.18, 3.31, 0.02, 3.94, 0.0
34918.7314286, 20646.9914286, 11097.26, 0.111, 1261.08142857,0.238571428571,0.0, 0.02, 11.44, 0.0, 81.1, 3.36, 0.02, 4.05, 0.0
34379.15, 20029.0585714, 11224.6628571, 0.112857142857, 1253.80714286,0.265714285714,0.0, 0.01, 11.37, 0.0, 82.01, 3.29, 0.02, 3.31, 0.0
34959.1914286, 20459.8985714, 11321.1228571, 0.111, 1299.79,0.245714285714,0.0, 0.0, 11.98, 0.0, 80.77, 3.36, 0.02, 3.87, 0.0
34914.8342857, 20533.6314286, 11207.0685714, 0.111142857143, 1347.73428571,0.257142857143,0.0, 0.01, 11.7, 0.0, 81.26, 3.4, 0.02, 3.61, 0.0
34548.3657143, 20178.4657143, 11229.08, 0.112142857143, 1431.74428571,0.242857142857,0.0, 0.01, 11.65, 0.0, 81.3, 3.32, 0.02, 3.7, 0.0
35202.0571429, 20513.42, 11488.3885714, 0.110428571429, 1658.84714286,0.28,0.0, 0.01, 12.0, 0.0, 80.76, 3.51, 0.02, 3.7, 0.0
32754.0357143, 18735.2957143, 11041.03, 0.118714285714, 1915.70714286,0.26,0.0, 0.01, 11.05, 0.0, 82.25, 3.1, 0.02, 3.58, 0.0
30692.6, 17067.5371429, 10834.7557143, 0.126714285714, 2492.72285714,0.23,0.0, 0.01, 10.68, 0.0, 82.93, 2.96, 0.02, 3.4, 0.0
24206.3628571, 11946.9714286, 10058.7514286, 0.161571428571, 3066.26428571,0.288571428571,0.0, 0.01, 9.03, 0.0, 86.06, 2.61, 0.02, 2.28, 0.0
17035.8442857, 6663.58, 8823.48285714, 0.230857142857, 3706.76428571,0.494285714286,0.0, 0.01, 7.98, 0.0, 88.04, 1.99, 0.01, 1.97, 0.0
11664.2528571, 3544.65857143, 7059.15142857, 0.338428571429, 4658.89142857,0.817142857143,0.0, 0.01, 6.09, 0.0, 91.24, 1.5, 0.01, 1.15, 0.0
8024.06714286, 1829.33571429, 5465.20714286, 0.494571428571, 6123.13571429,1.37142857143,0.0, 0.01, 4.38, 0.0, 93.94, 1.03, 0.01, 0.63, 0.0
5100.11, 904.795714286, 3731.6, 0.787714285714, 7601.83571429,2.88571428571,0.0, 0.01, 3.03, 0.0, 95.78, 0.73, 0.01, 0.44, 0.0
3601.15857143, 421.487142857, 2852.22, 1.10471428571, 10607.1985714,4.11428571429,0.0, 0.01, 2.75, 0.0, 96.3, 0.62, 0.0, 0.33, 0.0
2113.12857143, 184.941428571, 1736.03, 1.90242857143, 12373.7714286,7.97142857143,0.0, 0.01, 1.93, 0.0, 97.46, 0.41, 0.0, 0.19, 0.0
1347.12571429, 61.45, 1163.14142857, 2.96257142857, 15732.8,8.62857142857,0.0, 0.02, 1.64, 0.0, 97.79, 0.37, 0.0, 0.18, 0.0
708.484285714, 14.2714285714, 629.712857143, 5.62571428571, 16536.4928571,7.01428571429,0.0, 0.01, 1.33, 0.0, 98.23, 0.29, 0.01, 0.13, 0.0
354.905714286, 3.29857142857, 319.247142857, 11.2354285714, 16581.34,7.48571428571,0.0, 0.01, 1.31, 0.0, 98.28, 0.26, 0.0, 0.14, 0.0
