usr, sys, cpu, latency, 99th
2.84, 11.66, 16.9633333333, 5.93604761905, 16.6238095238
4.43666666667, 17.46, 31.83, 3.93228571428, 10.8380952381
6.32666666667, 24.8166666667, 46.8633333333, 2.55233333333, 9.75238095237
9.07, 34.31, 63.7433333333, 2.48047619048, 11.6285714286
11.8266666667, 45.42, 86.8433333333, 1.248, 29.0
12.1, 45.6766666667, 89.34, 2.72433333333, 17.619047619
12.1333333333, 45.8, 89.27, 1.25266666667, 22.4285714286
12.2533333333, 45.8766666667, 89.2433333333, 1.36823809524, 21.8571428571
12.27, 45.9866666667, 89.44, 1.97871428571, 17.6666666666
12.08, 46.0933333333, 89.4333333333, 1.7009047619, 18.4285714286
12.08, 46.2133333333, 87.7033333333, 1.80766666666, 18.9142857143
12.7266666667, 48.8133333333, 89.7966666667, 1.38747619048, 14.7714285714
