ops/s, hits/s, miss/s, latency, KB/s
27913.8485714, 16582.9585714, 8793.22714286, 0.103571428571, 1077.98142857
42265.8814286, 22870.4528571, 15552.9728571, 0.138285714286, 1632.25142857
51232.0814286, 25568.5657143, 21005.9214286, 0.171857142857, 1978.51571429
54804.9957143, 26419.0314286, 23403.4871429, 0.215285714286, 2116.48857143
54581.4471429, 26164.54, 23454.7371429, 0.271, 2107.84142857
58662.5157143, 24198.3371429, 29130.9757143, 0.303142857143, 2265.44428571
62270.7871429, 24133.8828571, 32475.61, 0.345142857143, 2404.78
71787.1171429, 27969.1714286, 37291.4985714, 0.332428571429, 2772.28
62743.9157143, 23036.21, 34003.3257143, 0.427, 2423.01714286
61026.8985714, 23126.8857143, 32351.68, 0.472428571429, 2356.73428571
58664.9285714, 19934.1857143, 33397.0385714, 0.578571428571, 2265.48285714
63247.8185714, 18526.5971429, 38970.8671429, 0.565428571429, 2442.48142857
60721.7142857, 15885.4942857, 39315.4285714, 0.639142857143, 2344.88285714
61194.9357143, 16085.86, 39545.2428571, 0.683285714286, 2363.19142857
59908.29, 14545.9942857, 39915.4357143, 0.759142857143, 2313.46428571
