usr, nice, sys, iowait, irq, soft, steal, guest, idle
0.0, 0.03, 10.74, 0.0, 83.62, 2.79, 0.0, 2.82, 0.0
0.0, 0.02, 19.8, 0.0, 67.12, 4.91, 0.0, 8.14, 0.0
0.0, 0.01, 31.2, 0.0, 49.07, 7.22, 0.0, 12.5, 0.0
0.0, 0.07, 33.72, 0.0, 37.34, 8.4, 0.0, 20.47, 0.0
0.0, 0.06, 39.34, 0.0, 24.67, 9.42, 0.0, 26.51, 0.0
0.0, 0.01, 46.48, 0.0, 11.45, 11.05, 0.0, 31.01, 0.0
0.0, 0.01, 46.86, 0.0, 10.74, 11.07, 0.0, 31.32, 0.0
0.0, 0.01, 47.25, 0.0, 9.83, 10.81, 0.0, 32.11, 0.0
0.0, 0.01, 47.45, 0.0, 9.61, 11.04, 0.0, 31.89, 0.0
0.0, 0.01, 46.89, 0.0, 10.49, 10.78, 0.0, 31.84, 0.0
