ops/s, hits/s, miss/s, latency, KB/s
18073.72, 14957.2371429, 1473.35285714, 0.219, 685.908571429
16286.5757143, 12648.0364286, 2157.88071429, 0.245071428571, 620.859285714
15863.4590476, 11372.1752381, 3049.09333333, 0.254476190476, 607.127619048
14366.6339286, 9424.86892857, 3635.64607143, 0.2915, 550.361071429
13977.036, 8449.87971429, 4256.458, 0.314314285714, 536.938285714
13806.8569048, 7921.48119048, 4630.14714286, 0.337023809524, 530.137142857
12345.7361224, 6253.48489796, 4969.84938776, 0.321387755102, 474.343469388
11208.1282143, 5124.37678571, 5064.77017857, 0.352946428571, 431.044107143
10354.5873016, 4265.57047619, 5147.63333333, 0.391888888889, 398.803015873
9577.74642857, 3525.88985714, 5181.09085714, 0.4165, 369.201857143
