ops/s, hits/s, miss/s, latency, KB/s,99% latency,usr, nice, sys, iowait, irq, soft, steal, guest, idle
12911.6569048, 3289.2147619, 8448.56119048, 0.553285714286, 442.702857143,0.851904761905,0.0, 0.01, 49.33, 0.0, 10.79, 12.76, 0.0, 27.11, 0.0
12871.53, 3276.65547619, 8424.64738095, 0.551428571429, 449.995,0.845714285714,0.0, 0.02, 48.54, 0.0, 10.67, 12.47, 0.0, 28.31, 0.0
12807.0466667, 3233.81261905, 8408.86428571, 0.536023809524, 464.662619048,0.826428571429,0.0, 0.01, 48.29, 0.0, 10.59, 12.15, 0.0, 28.97, 0.0
12798.0683333, 3189.67071429, 8444.84952381, 0.5105, 502.024761905,0.759285714286,0.0, 0.01, 47.5, 0.0, 10.84, 12.25, 0.0, 29.4, 0.0
12888.3916667, 3322.27785714, 8394.35904762, 0.534904761905, 578.26,0.831904761905,0.0, 0.01, 46.17, 0.0, 12.63, 12.05, 0.0, 29.14, 0.0
12751.9647619, 3199.10857143, 8393.49809524, 0.5385, 704.99047619,0.809047619048,0.0, 0.02, 47.6, 0.0, 11.2, 12.2, 0.0, 28.99, 0.0
12751.2530952, 3188.5597619, 8403.39357143, 0.528428571429, 980.219047619,0.821428571429,0.0, 0.02, 47.31, 0.0, 10.98, 12.48, 0.0, 29.21, 0.0
12753.0383333, 3153.24785714, 8440.33142857, 0.501404761905, 1514.6952381,0.750714285714,0.0, 0.02, 47.52, 0.0, 11.57, 12.36, 0.0, 28.54, 0.0
12378.3230952, 2900.86761905, 8352.05785714, 0.500738095238, 2435.57809524,0.887380952381,0.0, 0.02, 47.05, 0.0, 12.86, 12.58, 0.01, 27.49, 0.0
10209.9783333, 2007.65285714, 7274.04928571, 0.585428571429, 3284.22904762,1.27380952381,0.0, 0.01, 44.85, 0.0, 18.44, 13.4, 0.0, 23.31, 0.0
7309.37690476, 1121.97452381, 5522.82452381, 0.816619047619, 3819.68238095,1.69761904762,0.0, 0.02, 40.89, 0.0, 27.2, 11.74, 0.02, 20.13, 0.0
5195.29261905, 596.596666667, 4126.30285714, 1.15228571429, 4449.45261905,2.3619047619,0.0, 0.02, 33.95, 0.0, 41.27, 10.95, 0.02, 13.79, 0.0
3512.40214286, 269.102380952, 2923.89547619, 1.70933333333, 4824.16309524,3.24761904762,0.0, 0.03, 27.61, 0.0, 54.04, 8.94, 0.03, 9.36, 0.0
2055.81833333, 90.19, 1778.64119048, 2.925, 4502.47309524,4.3,0.0, 0.03, 20.36, 0.0, 67.45, 6.27, 0.03, 5.86, 0.0
1084.81833333, 23.4754761905, 962.612380952, 5.57714285714, 3946.0347619,4.66666666667,0.0, 0.03, 15.0, 0.0, 74.59, 4.85, 0.02, 5.5, 0.0
574.138095238, 7.11976190476, 514.685952381, 10.6574047619, 3823.6,6.05952380952,0.0, 0.03, 10.23, 0.0, 80.11, 2.8, 0.01, 6.81, 0.0
284.512857143, 1.515, 256.980952381, 21.46, 3533.51285714,4.59047619048,0.0, 0.03, 7.96, 0.0, 83.56, 2.01, 0.01, 6.43, 0.0
142.709047619, 0.415476190476, 129.157619048, 42.8394285714, 3473.89857143,4.5880952381,0.0, 0.03, 6.95, 0.0, 85.32, 1.49, 0.01, 6.21, 0.0
74.0266666667, 0.332142857143, 66.7926190476, 87.139452381, 3706.51095238,4.65,0.0, 0.03, 6.54, 0.0, 86.29, 1.25, 0.01, 5.88, 0.0
