usr, nice, sys, iowait, irq, soft, steal, guest, idle
0.0, 0.03, 12.84, 0.0, 82.94, 2.79, 0.0, 1.4, 0.0
0.0, 0.02, 23.41, 0.0, 65.21, 5.0, 0.0, 6.36, 0.0
0.0, 0.05, 29.3, 0.0, 50.23, 6.58, 0.0, 13.84, 0.0
0.0, 0.02, 34.97, 0.0, 36.33, 7.95, 0.0, 20.73, 0.0
0.0, 0.06, 39.31, 0.0, 24.67, 9.17, 0.0, 26.79, 0.0
0.0, 0.01, 46.24, 0.0, 10.85, 10.24, 0.0, 32.65, 0.0
0.0, 0.01, 46.21, 0.0, 10.13, 10.68, 0.0, 32.97, 0.0
0.0, 0.01, 46.33, 0.0, 10.43, 10.24, 0.0, 32.98, 0.0
0.0, 0.01, 45.95, 0.0, 10.34, 10.4, 0.0, 33.31, 0.0
0.0, 0.01, 46.43, 0.0, 9.9, 10.25, 0.0, 33.41, 0.0
