ops/s, hits/s, miss/s, latency, KB/s,99% latency,usr, nice, sys, iowait, irq, soft, steal, guest, idle
18516.2842857, 8015.23142857, 8817.68285714, 0.212714285714, 715.074285714,0.322857142857,0.0, 0.02, 10.92, 0.0, 83.6, 2.56, 0.0, 2.9, 0.0
19371.09, 9179.95071429, 8430.07571429, 0.204928571429, 748.086428571,0.317857142857,0.0, 0.01, 25.94, 0.0, 63.91, 5.6, 0.0, 4.54, 0.0
15939.6380952, 6746.34047619, 7744.18238095, 0.249380952381, 615.564285714,0.404761904762,0.0, 0.02, 28.46, 0.0, 50.3, 6.57, 0.0, 14.66, 0.0
14662.4696429, 5893.37607143, 7436.07964286, 0.280321428571, 566.241071429,0.4525,0.0, 0.01, 34.16, 0.0, 36.8, 7.86, 0.01, 21.16, 0.0
14119.204, 5462.58142857, 7373.00257143, 0.295514285714, 545.260285714,0.498285714286,0.0, 0.07, 39.51, 0.0, 24.58, 9.19, 0.0, 26.64, 0.0
14124.8692857, 5362.91666667, 7477.80833333, 0.33219047619, 545.477619048,0.595238095238,0.0, 0.01, 48.85, 0.0, 11.02, 10.97, 0.0, 29.16, 0.0
12455.7779592, 3994.9777551, 7328.39326531, 0.318775510204, 481.019183673,0.994897959184,0.0, 0.02, 49.0, 0.0, 10.57, 11.11, 0.0, 29.3, 0.0
11382.6132143, 3443.49875, 6904.27125, 0.347321428571, 439.574821429,1.26785714286,0.0, 0.01, 46.73, 0.0, 13.68, 10.48, 0.0, 29.1, 0.0
10384.2944444, 2947.42349206, 6492.78142857, 0.381142857143, 401.020793651,4.43650793651,0.0, 0.01, 47.05, 0.0, 10.43, 10.81, 0.0, 31.7, 0.0
9620.30385714, 2603.13328571, 6142.534, 0.415128571429, 371.514714286,7.04571428571,0.0, 0.01, 46.85, 0.0, 9.88, 10.76, 0.0, 32.5, 0.0
