CPU,MEM
76.2,0.1
76.2,0.1
76.2,0.1
76.3,0.1
76.3,0.1
76.4,0.1
76.5,0.1
76.6,0.1
76.6,0.1
76.7,0.1
76.8,0.1
76.9,0.1
76.9,0.1
77.0,0.1
77.1,0.1
77.2,0.1
77.3,0.1
77.3,0.1
77.4,0.1
77.5,0.1
77.6,0.1
77.6,0.1
77.7,0.1
77.8,0.1
77.9,0.1
78.0,0.1
78.0,0.1
78.1,0.1
78.2,0.1
78.3,0.1
78.3,0.1
78.4,0.1
78.5,0.1
78.6,0.1
78.6,0.1
78.7,0.1
78.8,0.1
78.9,0.1
79.0,0.1
79.0,0.1
79.1,0.1
79.2,0.1
79.3,0.1
79.3,0.1
79.4,0.1
79.5,0.1
79.6,0.1
79.6,0.1
79.7,0.1
79.8,0.1
79.9,0.1
80.0,0.1
80.0,0.1
80.1,0.1
80.2,0.1
80.3,0.1
80.3,0.1
80.4,0.1
80.5,0.1
80.6,0.1
80.7,0.1
80.7,0.1
80.8,0.1
80.9,0.1
81.0,0.1
81.0,0.1
81.1,0.1
81.2,0.1
81.3,0.1
81.4,0.1
81.4,0.1
81.5,0.1
81.6,0.1
81.7,0.1
81.7,0.1
81.8,0.1
81.9,0.1
82.0,0.1
82.0,0.1
82.1,0.1
82.2,0.1
82.3,0.1
82.3,0.1
82.4,0.1
82.5,0.1
82.6,0.1
82.6,0.1
82.7,0.1
82.8,0.1
82.9,0.1
83.0,0.1
83.0,0.1
83.1,0.1
83.2,0.1
83.3,0.1
83.4,0.1
83.4,0.1
83.5,0.1
83.6,0.1
83.7,0.1
83.7,0.1
83.8,0.1
83.9,0.1
84.0,0.1
84.0,0.1
84.1,0.1
84.2,0.1
84.3,0.1
84.3,0.1
84.4,0.1
84.5,0.1
84.6,0.1
84.6,0.1
84.7,0.1
84.8,0.1
84.9,0.1
85.0,0.1
85.0,0.1
85.1,0.1
85.2,0.1
85.3,0.1
85.3,0.1
85.4,0.1
85.5,0.1
85.6,0.1
85.6,0.1
85.7,0.1
85.8,0.1
85.9,0.1
85.9,0.1
86.0,0.1
86.1,0.1
86.2,0.1
86.2,0.1
86.3,0.1
86.4,0.1
86.5,0.1
86.5,0.1
86.6,0.1
86.7,0.1
86.8,0.1
86.9,0.1
86.9,0.1
87.0,0.1
87.1,0.1
87.2,0.1
87.2,0.1
87.3,0.1
87.4,0.1
87.5,0.1
87.5,0.1
87.6,0.1
87.7,0.1
87.7,0.1
87.8,0.1
87.9,0.1
88.0,0.1
88.0,0.1
88.1,0.1
88.2,0.1
88.3,0.1
88.4,0.1
88.4,0.1
88.5,0.1
88.6,0.1
88.7,0.1
88.7,0.1
88.8,0.1
88.9,0.1
89.0,0.1
89.0,0.1
89.1,0.1
89.2,0.1
89.2,0.1
89.3,0.1
89.4,0.1
89.5,0.1
89.5,0.1
89.6,0.1
89.7,0.1
89.8,0.1
89.8,0.1
89.9,0.1
90.0,0.1
90.1,0.1
90.1,0.1
90.2,0.1
90.3,0.1
90.3,0.1
90.4,0.1
90.5,0.1
90.6,0.1
90.6,0.1
90.7,0.1
90.8,0.1
90.8,0.1
90.9,0.1
91.0,0.1
91.1,0.1
91.1,0.1
91.2,0.1
91.3,0.1
91.3,0.1
91.4,0.1
91.5,0.1
91.6,0.1
91.6,0.1
91.7,0.1
91.8,0.1
91.8,0.1
91.9,0.1
92.0,0.1
92.1,0.1
92.1,0.1
92.2,0.1
92.3,0.1
92.3,0.1
92.4,0.1
92.5,0.1
92.5,0.1
92.6,0.1
92.7,0.1
92.7,0.1
