CPU,MEM
92.8,0.1
92.9,0.1
93.0,0.1
93.0,0.1
93.1,0.1
93.2,0.1
93.3,0.1
93.3,0.1
93.4,0.1
93.5,0.1
93.5,0.1
93.6,0.1
93.7,0.1
93.8,0.1
93.8,0.1
93.9,0.1
94.0,0.1
94.0,0.1
94.1,0.1
94.2,0.1
94.3,0.1
94.3,0.1
94.4,0.1
94.5,0.1
94.5,0.1
94.6,0.1
94.7,0.1
94.7,0.1
94.8,0.1
94.9,0.1
95.0,0.1
95.0,0.1
95.1,0.1
95.2,0.1
95.2,0.1
95.3,0.1
95.4,0.1
95.5,0.1
95.5,0.1
95.6,0.1
95.7,0.1
95.8,0.1
95.8,0.1
95.9,0.1
96.0,0.1
96.0,0.1
96.1,0.1
96.2,0.1
96.2,0.1
96.3,0.1
96.4,0.1
96.4,0.1
96.5,0.1
96.6,0.1
96.7,0.1
96.7,0.1
96.8,0.1
96.9,0.1
96.9,0.1
97.0,0.1
97.1,0.1
97.1,0.1
97.2,0.1
97.3,0.1
97.4,0.1
97.4,0.1
97.5,0.1
97.6,0.1
97.6,0.1
97.7,0.1
97.8,0.1
97.9,0.1
97.9,0.1
98.0,0.1
98.1,0.1
98.1,0.1
98.2,0.1
98.3,0.1
98.3,0.1
98.4,0.1
98.5,0.1
98.5,0.1
98.6,0.1
98.7,0.1
98.7,0.1
98.8,0.1
98.9,0.1
99.0,0.1
99.0,0.1
99.1,0.1
99.2,0.1
99.2,0.1
99.3,0.1
99.4,0.1
99.4,0.1
99.5,0.1
99.6,0.1
99.7,0.1
99.7,0.1
99.8,0.1
99.9,0.1
99.9,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
103,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
102,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
101,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
100,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.8,0.1
99.8,0.1
99.8,0.1
99.8,0.1
99.8,0.1
99.7,0.1
99.7,0.1
99.7,0.1
99.7,0.1
99.7,0.1
99.6,0.1
99.6,0.1
99.6,0.1
99.6,0.1
99.5,0.1
99.5,0.1
99.5,0.1
99.5,0.1
99.5,0.1
99.4,0.1
99.4,0.1
99.4,0.1
99.4,0.1
99.4,0.1
99.3,0.1
99.3,0.1
99.3,0.1
99.3,0.1
99.3,0.1
99.2,0.1
99.2,0.1
99.2,0.1
99.2,0.1
99.2,0.1
99.1,0.1
99.1,0.1
99.1,0.1
99.1,0.1
99.1,0.1
99.0,0.1
99.0,0.1
99.0,0.1
99.0,0.1
99.0,0.1
98.9,0.1
98.9,0.1
98.9,0.1
98.9,0.1
98.9,0.1
98.8,0.1
98.8,0.1
98.8,0.1
98.8,0.1
98.7,0.1
98.7,0.1
98.7,0.1
98.7,0.1
98.7,0.1
98.6,0.1
98.6,0.1
98.6,0.1
98.6,0.1
98.6,0.1
98.5,0.1
98.5,0.1
98.5,0.1
98.5,0.1
98.4,0.1
98.4,0.1
98.4,0.1
98.4,0.1
98.4,0.1
98.3,0.1
98.3,0.1
98.3,0.1
98.3,0.1
98.3,0.1
98.2,0.1
98.2,0.1
98.2,0.1
98.2,0.1
98.2,0.1
98.1,0.1
98.1,0.1
