ops/s, hits/s, miss/s, latency, KB/s
15854.1114286, 6894.31142857, 7518.32571429, 0.760714285714, 818.504285714
16299.4485714, 4834.38, 9983.10928571, 0.736357142857, 754.237142857
14085.4742857, 5165.51095238, 7639.29, 0.866047619048, 688.102857143
13108.3892857, 5554.16071429, 6362.375, 0.937714285714, 667.590714286
12464.2528571, 5737.81657143, 5593.14314286, 0.994685714286, 650.965428571
12611.2657143, 6652.93714286, 4811.66428571, 1.04723809524, 689.662142857
11122.0032653, 5804.62653061, 4306.10387755, 1.09504081633, 604.736122449
10074.7757143, 5458.12482143, 3700.58, 1.19119642857, 554.367321429
9210.78825397, 5101.99365079, 3271.26777778, 1.30547619048, 510.141428571
8551.96228571, 4757.17085714, 3017.15328571, 1.40378571429, 473.502428571
8133.13324675, 4644.28, 2749.29844156, 1.48876623377, 454.877402597
7594.68952381, 4408.46714286, 2495.61083333, 1.62583333333, 427.4925
