usr, nice, sys, iowait, irq, soft, steal, guest, idle
0.0, 0.02, 11.15, 0.0, 83.59, 2.88, 0.0, 2.37, 0.0
0.0, 0.02, 24.13, 0.0, 65.0, 6.06, 0.0, 4.78, 0.0
0.0, 0.01, 29.42, 0.0, 50.79, 7.71, 0.0, 12.07, 0.0
0.0, 0.04, 35.95, 0.0, 36.33, 9.15, 0.0, 18.53, 0.0
0.0, 0.02, 39.94, 0.0, 24.76, 10.7, 0.0, 24.58, 0.0
0.0, 0.01, 47.24, 0.0, 10.96, 12.55, 0.0, 29.23, 0.0
0.0, 0.01, 46.96, 0.0, 10.58, 12.57, 0.0, 29.89, 0.0
0.0, 0.01, 47.92, 0.0, 9.81, 12.92, 0.0, 29.36, 0.0
0.0, 0.01, 47.71, 0.0, 9.76, 12.75, 0.0, 29.78, 0.0
0.0, 0.01, 48.09, 0.0, 9.45, 12.94, 0.0, 29.5, 0.0
0.0, 0.01, 48.6, 0.0, 9.01, 12.8, 0.0, 29.59, 0.0
0.0, 0.01, 47.26, 0.0, 9.99, 12.76, 0.0, 29.98, 0.0
