CPU, %usr, %nice, %sys, %iowait, %irq, %soft, %steal, %guest, %idle
0, 0.14, 0.00, 0.28, 0.00, 0.00, 97.04, 0.00, 0.00, 2.54
1, 16.51, 0.00, 48.81, 0.00, 0.00, 0.00, 0.00, 0.00, 34.68
2, 16.84, 0.00, 50.36, 0.07, 0.00, 0.00, 0.00, 0.00, 32.73
3, 16.10, 0.00, 48.44, 0.07, 0.00, 0.00, 0.00, 0.00, 35.39
4, 17.06, 0.00, 50.23, 0.04, 0.00, 0.00, 0.00, 0.00, 32.68
5, 15.59, 0.00, 48.85, 0.00, 0.00, 0.00, 0.00, 0.00, 35.56
