usr, nice, sys, iowait, irq, soft, steal, guest, idle
0.0, 0.02, 12.15, 0.0, 83.24, 3.15, 0.0, 1.45, 0.0
0.0, 0.01, 26.35, 0.0, 63.88, 6.62, 0.0, 3.14, 0.0
0.0, 0.03, 32.04, 0.0, 48.75, 8.15, 0.0, 11.02, 0.0
0.0, 0.02, 36.22, 0.0, 35.78, 9.84, 0.0, 18.15, 0.0
0.0, 0.06, 39.96, 0.0, 24.76, 11.29, 0.0, 23.93, 0.0
0.0, 0.01, 46.17, 0.0, 13.28, 13.27, 0.01, 27.26, 0.0
0.0, 0.01, 47.42, 0.0, 11.85, 13.48, 0.01, 27.25, 0.0
0.0, 0.02, 47.05, 0.0, 11.23, 13.6, 0.01, 28.09, 0.0
0.0, 0.01, 43.61, 0.0, 19.24, 14.55, 0.03, 22.56, 0.0
0.0, 0.01, 44.28, 0.0, 17.38, 14.83, 0.02, 23.48, 0.0
