cpu, latency, 99th
26.0666666667, 0.0942857142857, 0.116666666667
44.3933333333, 0.10580952381, 0.241904761905
53.49, 0.123523809524, 0.318571428571
57.4666666667, 0.141285714286, 0.373809523809
59.1866666667, 0.163190476191, 0.537142857143
60.2166666667, 0.184761904762, 0.594761904762
60.5666666667, 0.484857142857, 1.93571428571
60.59, 0.268619047619, 1.00476190476
60.6, 0.45219047619, 1.80428571429
60.62, 0.268238095238, 1.02476190476
60.6433333333, 0.42580952381, 1.24
60.6666666667, 0.357380952381, 1.19
60.7, 0.374285714286, 1.37
61.4366666667, 0.348047619047, 1.19523809524
62.92, 0.450142857143, 1.68095238095
63.8266666667, 0.45180952381, 1.60619047619
64.7166666667, 0.564761904762, 1.88095238095
65.7933333333, 0.545333333333, 2.08095238095
66.75, 0.470095238095, 1.80476190476
67.13, 0.430476190476, 1.65714285714
67.3833333333, 0.500476190476, 2.23333333333
67.6233333333, 0.447095238095, 1.75238095238
68.3933333333, 0.389666666667, 1.81047619048
69.8833333333, 0.51119047619, 1.78095238095
76.8466666667, 0.478809523809, 1.28571428571
