16.27, 6.97, 7.74, 6.45785714286, 7.15714285714
16.14, 6.63, 7.5, 6.68957142857, 7.3
16.28, 7.15, 7.68, 6.49114285714, 7.3
16.62, 7.66, 7.86, 6.29071428571, 7.1
16.25, 6.88, 7.42, 6.727, 7.3
16.99, 8.65, 8.05, 5.99914285714, 6.6
16.44, 6.96, 8.36, 6.38728571429, 7.3
16.58, 7.12, 7.98, 6.50185714286, 7.21428571429
16.26, 6.72, 7.53, 6.80171428571, 7.34285714286
18.46, 6.95, 8.64, 6.25657142857, 7.1
19.03, 7.49, 9.33, 5.93185714286, 6.7
19.0, 7.32, 9.44, 5.95285714286, 6.7
18.84, 6.99, 8.86, 6.29414285714, 7.2
19.26, 7.53, 9.39, 5.96828571429, 6.8
19.49, 7.59, 9.6, 5.98228571429, 6.8
20.41, 8.05, 10.44, 5.74728571429, 6.6
19.14, 7.22, 8.88, 6.362, 7.3
19.76, 7.78, 9.48, 6.06714285714, 6.9
