usr, nice, sys, iowait, irq, soft, steal, guest, idle
0.0, 0.02, 29.16, 0.0, 49.26, 8.74, 0.02, 12.8, 0.0
0.0, 0.02, 31.02, 0.0, 39.91, 7.52, 0.0, 21.53, 0.0
0.0, 0.02, 31.7, 0.0, 38.44, 7.97, 0.0, 21.87, 0.0
0.0, 0.02, 34.05, 0.0, 36.44, 7.76, 0.0, 21.74, 0.0
0.0, 0.04, 32.53, 0.0, 37.32, 7.88, 0.0, 22.23, 0.0
0.0, 0.02, 36.5, 0.0, 33.97, 8.59, 0.0, 20.93, 0.0
0.0, 0.01, 43.62, 0.0, 26.08, 9.84, 0.0, 20.45, 0.0
0.0, 0.02, 34.75, 0.0, 35.18, 8.2, 0.0, 21.86, 0.0
0.0, 0.02, 33.74, 0.0, 36.16, 7.7, 0.0, 22.39, 0.0
0.0, 0.02, 34.12, 0.0, 35.75, 8.21, 0.0, 21.89, 0.0
0.0, 0.02, 33.93, 0.0, 35.72, 7.95, 0.0, 22.38, 0.0
0.0, 0.02, 33.89, 0.0, 35.36, 8.22, 0.0, 22.51, 0.0
0.0, 0.02, 36.85, 0.0, 33.05, 8.49, 0.0, 21.6, 0.0
0.0, 0.03, 40.27, 0.0, 29.73, 9.47, 0.01, 20.5, 0.0
0.0, 0.02, 32.54, 0.0, 36.92, 7.79, 0.0, 22.73, 0.0
0.0, 0.05, 41.59, 0.0, 28.77, 9.52, 0.0, 20.07, 0.0
0.0, 0.01, 43.57, 0.0, 26.42, 10.04, 0.0, 19.97, 0.0
0.0, 0.03, 38.72, 0.0, 31.22, 9.26, 0.01, 20.76, 0.0
0.0, 0.04, 36.65, 0.0, 33.15, 8.73, 0.0, 21.43, 0.0
0.0, 0.02, 39.75, 0.0, 30.4, 9.37, 0.0, 20.46, 0.0
0.0, 0.02, 39.08, 0.0, 30.96, 8.91, 0.0, 21.03, 0.0
0.0, 0.01, 40.71, 0.0, 29.72, 9.35, 0.01, 20.21, 0.0
0.0, 0.01, 36.18, 0.0, 33.48, 8.47, 0.0, 21.86, 0.0
0.0, 0.02, 39.3, 0.0, 30.49, 9.22, 0.0, 20.98, 0.0
0.0, 0.02, 31.96, 0.0, 37.29, 7.79, 0.0, 22.94, 0.0
0.0, 0.02, 37.28, 0.0, 32.42, 8.74, 0.0, 21.56, 0.0
0.0, 0.01, 38.75, 0.0, 30.84, 8.83, 0.0, 21.56, 0.0
0.0, 0.06, 37.95, 0.0, 32.32, 8.68, 0.0, 20.98, 0.0
0.0, 0.02, 34.57, 0.0, 34.79, 8.06, 0.0, 22.57, 0.0
0.0, 0.02, 39.74, 0.0, 30.46, 9.12, 0.0, 20.66, 0.0
0.0, 0.02, 45.15, 0.0, 26.35, 9.99, 0.0, 18.49, 0.0
0.0, 0.01, 41.68, 0.0, 28.85, 9.48, 0.0, 19.99, 0.0
0.0, 0.02, 34.81, 0.0, 34.57, 8.29, 0.0, 22.31, 0.0
0.0, 0.02, 38.73, 0.0, 30.92, 9.22, 0.0, 21.12, 0.0
0.0, 0.03, 36.63, 0.0, 32.89, 8.68, 0.0, 21.77, 0.0
0.0, 0.04, 37.26, 0.0, 32.44, 8.55, 0.0, 21.71, 0.0
0.0, 0.03, 47.93, 0.0, 23.2, 10.78, 0.0, 18.06, 0.0
0.0, 0.02, 39.19, 0.0, 31.02, 8.89, 0.0, 20.88, 0.0
0.0, 0.01, 47.67, 0.0, 22.71, 11.05, 0.0, 18.57, 0.0
0.0, 0.02, 56.21, 0.0, 15.65, 12.74, 0.0, 15.38, 0.0
