ops/s, hits/s, miss/s, latency, KB/s
34963.23, 20261.2557143, 11523.4314286, 0.110428571429, 1350.22
49901.5042857, 27229.0628571, 18135.8142857, 0.156428571429, 1927.12857143
53678.05, 28330.0742857, 20467.9485714, 0.220857142857, 2072.96142857
56599.1742857, 23041.1885714, 28412.3614286, 0.278857142857, 2185.76571429
56305.85, 25031.3814286, 26155.4614286, 0.351571428571, 2174.43428571
60221.7028571, 23571.2471429, 31175.4, 0.395, 2325.65
69321.2085714, 24771.5228571, 38247.3357143, 0.400142857143, 2677.02857143
59730.9285714, 20985.4485714, 33314.8928571, 0.533428571429, 2306.67
60618.17, 18611.0428571, 36495.8214286, 0.610857142857, 2340.92
58714.0228571, 14997.5085714, 38378.2871429, 0.677571428571, 2267.34142857
58029.82, 15001.3028571, 37752.4271429, 0.736857142857, 2240.93285714
59898.1628571, 13640.9742857, 40811.1371429, 0.797571428571, 2313.07571429
62569.6014286, 14124.3785714, 42756.2814286, 0.827285714286, 2416.22714286
65764.3314286, 13831.9785714, 45952.9314286, 0.848714285714, 2539.59857143
57712.8485714, 11177.2157143, 41288.08, 1.03671428571, 2228.68142857
67683.1357143, 12879.3471429, 48649.8171429, 0.942857142857, 2613.69
70383.98, 12398.3885714, 51586.0071429, 0.962571428571, 2717.99571429
65524.4971429, 11181.5428571, 48385.0885714, 1.09685714286, 2530.34571429
62607.59, 9705.94428571, 47208.9357143, 1.21057142857, 2417.70428571
68477.7585714, 10748.38, 51502.9, 1.20657142857, 2644.38714286
65364.6328571, 9254.01285714, 50167.1257143, 1.282, 2524.19
67246.5014286, 9021.60428571, 52110.2471429, 1.305, 2596.86428571
62350.2214286, 8156.40142857, 48524.2514286, 1.47271428571, 2407.79285714
65798.1214286, 8535.75285714, 51279.2542857, 1.456, 2540.93285714
57545.9042857, 6834.48714286, 45478.3671429, 1.73528571429, 2222.26714286
63597.9742857, 7583.5, 50231.2414286, 1.63328571429, 2455.99
65839.2142857, 7417.75571429, 52434.3885714, 1.65328571429, 2542.54857143
64003.7471429, 7270.88714286, 50912.5857143, 1.74828571429, 2471.66571429
60907.0, 5645.88285714, 49722.2514286, 1.90228571429, 2352.08571429
66199.0114286, 6527.24285714, 53651.8114286, 1.80971428571, 2556.44571429
71265.4957143, 7439.35571429, 57345.6671429, 1.739, 2752.08857143
68040.1814286, 6776.47857143, 55076.3285714, 1.88, 2627.55571429
61386.9614286, 6024.87142857, 49779.3657143, 2.149, 2370.63428571
65608.71, 5394.54857143, 54247.6485714, 2.07128571429, 2533.66285714
61113.5071429, 5796.52428571, 49759.05, 2.21514285714, 2360.08285714
69529.33, 9229.56285714, 53976.6114286, 2.13814285714, 2685.08285714
80833.1357143, 9279.47857143, 64203.0157143, 1.84528571429, 3121.61
78715.0642857, 10663.0742857, 60893.7642857, 1.95528571429, 3039.79714286
117200.954286, 30907.3071429, 75636.5671429, 1.47257142857, 4526.06142857
87933.36, 9368.24857143, 70568.6142857, 1.80514285714, 3395.79571429
