usr, nice, sys, iowait, irq, soft, steal, guest, idle
0.0, 0.01, 21.9, 0.0, 67.14, 6.06, 0.02, 4.87, 0.0
0.0, 0.04, 28.68, 0.0, 51.29, 8.28, 0.01, 11.7, 0.0
0.0, 0.01, 30.11, 0.0, 43.07, 8.22, 0.01, 18.58, 0.0
0.0, 0.02, 31.36, 0.0, 40.37, 7.71, 0.01, 20.54, 0.0
0.0, 0.03, 31.61, 0.0, 39.12, 7.52, 0.0, 21.72, 0.0
0.0, 0.03, 31.97, 0.0, 38.44, 7.56, 0.0, 22.01, 0.0
0.0, 0.02, 31.59, 0.0, 38.45, 7.55, 0.0, 22.39, 0.0
0.0, 0.02, 31.4, 0.0, 38.48, 7.58, 0.0, 22.53, 0.0
0.0, 0.02, 31.64, 0.0, 38.45, 7.39, 0.0, 22.5, 0.0
0.0, 0.02, 32.18, 0.0, 37.75, 7.84, 0.0, 22.2, 0.0
0.0, 0.04, 33.47, 0.0, 36.57, 8.39, 0.0, 21.53, 0.0
0.0, 0.03, 34.14, 0.0, 35.83, 8.2, 0.0, 21.8, 0.0
0.0, 0.01, 36.01, 0.0, 34.09, 8.77, 0.0, 21.12, 0.0
0.0, 0.02, 36.24, 0.0, 33.63, 8.75, 0.0, 21.36, 0.0
0.0, 0.02, 41.96, 0.0, 28.67, 9.61, 0.0, 19.74, 0.0
0.0, 0.07, 39.17, 0.0, 30.76, 9.61, 0.0, 20.4, 0.0
0.0, 0.04, 34.13, 0.0, 36.4, 8.26, 0.0, 21.17, 0.0
0.0, 0.04, 32.59, 0.0, 37.8, 8.05, 0.0, 21.53, 0.0
0.0, 0.03, 37.19, 0.0, 33.72, 8.73, 0.0, 20.33, 0.0
0.0, 0.05, 38.89, 0.0, 30.26, 9.51, 0.01, 21.27, 0.0
