ops/s, hits/s, miss/s, latency, KB/s
19791.9185714, 11889.9885714, 6102.63285714, 0.0972857142857, 764.33
33052.1914286, 18950.2785714, 11097.1085714, 0.117428571429, 1276.42428571
42480.2542857, 23058.62, 15559.7157143, 0.137571428571, 1640.52857143
48259.8, 25867.8628571, 18004.5671429, 0.162428571429, 1863.72857143
52042.6614286, 25045.3785714, 22265.9757143, 0.188571428571, 2009.82
53587.0442857, 26799.7257143, 21915.5871429, 0.221571428571, 2069.45285714
54516.0771429, 24672.6728571, 24887.1885714, 0.253285714286, 2105.33
56463.13, 24991.82, 26338.0571429, 0.289857142857, 2180.51
54832.9485714, 21713.5828571, 28134.2714286, 0.324857142857, 2117.54857143
53586.0142857, 20781.88, 27932.3614286, 0.357714285714, 2069.39
55410.0157143, 21515.5357143, 28856.8728571, 0.393714285714, 2139.82571429
56304.84, 20398.9571429, 30786.9171429, 0.409428571429, 2174.37714286
60422.0614286, 21982.39, 32946.3728571, 0.427428571429, 2333.37857143
61050.4828571, 19248.3171429, 36251.7185714, 0.455285714286, 2357.61428571
68923.0471429, 24117.9014286, 38538.9514286, 0.447571428571, 2661.64714286
66149.3614286, 22762.0242857, 37373.2642857, 0.497142857143, 2554.52142857
56173.9914286, 15847.7828571, 35218.9814286, 0.582428571429, 2169.25285714
55800.4371429, 16408.4314286, 34318.72, 0.642285714286, 2154.86142857
60809.3928571, 17807.9585714, 37472.79, 0.622571428571, 2348.28714286
64601.0971429, 16900.1557143, 41827.5185714, 0.616285714286, 2494.7
