cpu, latency, 99th
14.6966666667, 0.0930476190476, 0.0999047619047
27.2466666667, 0.0952857142857, 0.130476190476
37.0866666667, 0.102428571429, 0.198095238095
42.76, 0.114238095238, 0.248095238095
47.8733333333, 0.124666666666, 0.267142857143
49.6166666667, 0.138428571429, 0.313333333333
52.93, 0.150523809524, 0.364761904762
54.22, 0.160142857143, 0.395238095238
55.7766666667, 0.175714285714, 0.502380952381
56.6966666667, 0.185333333334, 0.427619047619
57.0866666667, 0.200380952381, 0.512857142857
57.7366666667, 0.214238095238, 0.64380952381
58.14, 0.224619047619, 0.569523809524
58.3666666667, 0.252904761905, 0.604761904762
58.5266666667, 0.254428571429, 0.83
58.6133333333, 0.300380952381, 0.932857142857
58.7566666667, 0.299476190476, 1.00238095238
58.83, 0.298761904762, 0.744285714286
58.88, 0.294380952381, 0.880952380951
58.9366666667, 0.315047619048, 1.06857142857
59.0266666667, 0.323476190476, 0.93238095238
59.1433333333, 0.39980952381, 1.1619047619
59.2233333333, 0.435857142857, 1.4380952381
59.2633333333, 0.458333333334, 1.49047619048
59.3233333333, 0.445095238095, 1.34285714286
59.3733333333, 0.468714285714, 1.52857142857
59.41, 0.412761904762, 1.43333333333
59.4233333333, 0.454333333334, 1.41142857143
59.46, 0.431380952381, 1.16666666667
59.4733333333, 0.492761904762, 1.70952380952
59.5233333333, 0.43519047619, 1.44285714286
59.5933333333, 0.436857142857, 1.28571428572
59.6533333333, 0.518428571428, 1.55238095238
59.7366666667, 0.600380952381, 1.9380952381
59.8166666667, 0.642047619048, 2.15238095238
59.8366666667, 0.614857142857, 2.0
59.86, 0.653523809524, 2.01428571429
59.8866666667, 0.658952380953, 2.02857142857
59.9233333333, 0.584714285715, 1.95714285714
59.9533333333, 0.694428571429, 2.45238095238
59.9766666667, 0.676238095238, 2.30476190476
59.9933333333, 0.652238095238, 2.34285714286
60.02, 0.628476190476, 2.19523809524
60.0333333333, 0.705904761905, 2.3380952381
60.07, 0.623380952381, 2.12380952381
60.0833333333, 0.715809523809, 2.54285714286
60.1, 0.763380952381, 2.65714285714
60.1433333333, 0.777380952381, 2.41428571429
60.21, 0.776619047619, 2.89047619048
60.35, 0.702047619048, 2.74761904762
