CPU, %usr, %nice, %sys, %iowait, %irq, %soft, %steal, %guest, %idle
0, 14.20, 0.00, 51.90, 0.00, 0.00, 32.24, 0.00, 0.00, 1.66
1, 15.17, 0.00, 53.52, 0.00, 0.00, 28.89, 0.00, 0.00, 2.42
2, 14.97, 0.00, 51.24, 0.00, 0.00, 33.48, 0.00, 0.00, 0.31
3, 14.86, 0.00, 52.34, 0.00, 0.00, 32.79, 0.00, 0.00, 0.00
4, 13.86, 0.00, 49.76, 0.00, 0.00, 33.60, 0.00, 0.00, 2.79
5, 15.53, 0.00, 52.57, 0.00, 0.00, 30.79, 0.00, 0.00, 1.10
