ops/s, hits/s, miss/s, latency, KB/s,99% latency,usr, nice, sys, iowait, irq, soft, steal, guest, idle
77735.41, 48796.1061905, 21872.3138095, 0.22780952381, 3449.10238095,0.366666666667,13.48, 0.0, 51.0566666667, 0.0, 0.0, 33.6666666667, 0.0, 0.0, 1.8
77334.5285714, 46149.2547619, 24154.7214286, 0.22919047619, 3431.3152381,0.359523809524,13.4833333333, 0.0, 50.83, 0.0, 0.0, 33.89, 0.0, 0.0, 1.79666666667
77929.7804762, 45475.1142857, 25370.0004762, 0.227285714286, 3457.72666667,0.380952380952,13.2933333333, 0.0, 51.2366666667, 0.0, 0.0, 33.6566666667, 0.0, 0.0, 1.80666666667
78063.0233333, 48393.9557143, 22572.2909524, 0.22680952381, 3463.63952381,0.359047619048,13.31, 0.0, 51.08, 0.0, 0.00333333333333, 33.8166666667, 0.0, 0.0, 1.79
78352.8652381, 48237.092381, 22992.6480952, 0.226095238095, 3476.50095238,0.357619047619,13.25, 0.0, 50.8533333333, 0.0, 0.0, 34.1166666667, 0.0, 0.0, 1.79
77699.047619, 45858.0457143, 24777.3157143, 0.227952380952, 3447.48904762,0.365714285714,13.5566666667, 0.0, 51.5033333333, 0.0, 0.0, 33.1466666667, 0.0, 0.0, 1.79666666667
78010.8604762, 48015.0680952, 22903.7542857, 0.227095238095, 3461.3252381,0.359523809524,13.2833333333, 0.0, 50.5666666667, 0.0, 0.0, 34.3533333333, 0.0, 0.0, 1.79333333333
77986.967619, 47664.0957143, 23233.0114286, 0.227142857143, 3460.2647619,0.370952380952,13.54, 0.0, 51.1766666667, 0.0, 0.0, 33.48, 0.0, 0.0, 1.79666666667
78038.2257143, 47238.2328571, 23705.4742857, 0.227, 3462.53809524,0.352380952381,13.2433333333, 0.0, 50.71, 0.0, 0.0, 34.25, 0.0, 0.0, 1.79333333333
78151.2961905, 47969.8090476, 23076.6933333, 0.226571428571, 3467.5547619,0.360476190476,13.3, 0.0, 51.2733333333, 0.0, 0.0, 33.6366666667, 0.0, 0.0, 1.79
78147.7957143, 47685.1538095, 23358.1595238, 0.226714285714, 3467.4,0.369523809524,13.27, 0.0, 51.06, 0.0, 0.0, 33.87, 0.0, 0.0, 1.80333333333
76834.5466667, 48239.7966667, 21609.6538095, 0.230619047619, 3409.13142857,0.377619047619,13.5, 0.0, 51.2133333333, 0.0, 0.0, 33.4933333333, 0.0, 0.0, 1.8
77934.8038095, 45578.4804762, 25271.202381, 0.227523809524, 3457.94952381,0.351428571429,13.1133333333, 0.0, 51.1866666667, 0.0, 0.0, 33.91, 0.0, 0.0, 1.79
78368.9947619, 48638.1685714, 22606.2290476, 0.226, 3477.2147619,0.361904761905,13.3433333333, 0.0, 50.9833333333, 0.0, 0.0, 33.8733333333, 0.0, 0.0, 1.8
78292.0485714, 45561.5395238, 25612.9147619, 0.226333333333, 3473.80095238,0.352380952381,13.2533333333, 0.0, 51.09, 0.0, 0.0, 33.8633333333, 0.0, 0.0, 1.79333333333
78002.6442857, 49285.0585714, 21626.3052381, 0.227095238095, 3460.95952381,0.358095238095,13.42, 0.0, 50.5533333333, 0.0, 0.0, 34.2333333333, 0.0, 0.0, 1.79
