ops/s, hits/s, miss/s, latency, KB/s,99% latency,usr, nice, sys, iowait, irq, soft, steal, guest, idle
44139.74, 24107.0228571, 16019.9257143, 0.132571428571, 1586.27857143,0.37,12.54, 0.0, 43.36, 0.01, 0.05, 17.03, 0.0, 0.0, 27.01
44972.6114286, 24934.8042857, 15949.2885714, 0.130142857143, 1624.19285714,0.365714285714,12.64, 0.0, 44.0, 0.0, 0.04, 18.17, 0.0, 0.0, 25.14
44617.47, 24735.18, 15826.07, 0.131, 1627.21285714,0.357142857143,12.66, 0.0, 44.05, 0.02, 0.05, 17.3, 0.0, 0.0, 25.92
45557.5528571, 25272.6571429, 16143.2014286, 0.128428571429, 1693.85428571,0.361428571429,12.65, 0.0, 45.59, 0.01, 0.04, 18.08, 0.0, 0.0, 23.63
44657.53, 24721.7942857, 15875.8842857, 0.131, 1723.82571429,0.364285714286,12.74, 0.0, 44.5, 0.01, 0.03, 18.01, 0.0, 0.0, 24.73
43980.8414286, 24220.6, 15761.8871429, 0.133142857143, 1822.65714286,0.378571428571,12.61, 0.0, 44.62, 0.01, 0.03, 17.22, 0.0, 0.0, 25.5
43724.18, 23665.4357143, 16083.7414286, 0.133571428571, 2060.45714286,0.357142857143,12.64, 0.0, 43.85, 0.01, 0.05, 18.25, 0.0, 0.0, 25.2
43105.3914286, 23132.9685714, 16053.6514286, 0.135857142857, 2521.14857143,0.39,12.65, 0.0, 44.18, 0.01, 0.04, 17.42, 0.0, 0.0, 25.69
38881.2571429, 19819.4942857, 15527.0071429, 0.151, 3157.78285714,0.421428571429,12.14, 0.0, 42.45, 0.01, 0.04, 15.51, 0.0, 0.0, 29.85
29065.1628571, 12699.93, 13722.8457143, 0.203142857143, 3681.76285714,0.381428571429,9.98, 0.0, 33.82, 0.01, 0.04, 10.69, 0.0, 0.0, 45.45
20297.8614286, 6763.09285714, 11689.41, 0.291714285714, 4416.56857143,0.645714285714,7.77, 0.0, 29.66, 0.01, 0.03, 8.61, 0.0, 0.0, 53.92
13618.1742857, 3600.05142857, 8780.01285714, 0.437571428571, 5439.42571429,1.24142857143,5.44, 0.0, 22.45, 0.01, 0.04, 4.62, 0.0, 0.0, 67.43
9323.32428571, 1818.12428571, 6657.53428571, 0.640857142857, 7114.76428571,1.81428571429,3.82, 0.0, 16.27, 0.01, 0.04, 3.02, 0.0, 0.0, 76.84
6327.90857143, 870.107142857, 4882.44, 0.944285714286, 9432.05714286,2.97142857143,2.98, 0.0, 11.8, 0.02, 0.01, 1.93, 0.0, 0.0, 83.26
4189.37285714, 390.212857143, 3418.20571429, 1.42757142857, 12340.3528571,4.67142857143,2.01, 0.0, 9.48, 0.02, 0.02, 1.28, 0.0, 0.0, 87.19
2570.09, 147.09, 2189.25857143, 2.32742857143, 15051.1885714,6.48571428571,1.59, 0.0, 7.21, 0.02, 0.02, 0.8, 0.0, 0.0, 90.36
1405.54142857, 39.0628571429, 1238.58285714, 4.25785714286, 16420.6414286,6.24285714286,1.19, 0.0, 5.34, 0.02, 0.02, 0.56, 0.0, 0.0, 92.88
707.391428571, 9.79571428571, 633.154285714, 8.46157142857, 16521.8757143,6.88571428571,1.05, 0.0, 4.69, 0.02, 0.01, 0.52, 0.0, 0.0, 93.71
364.917142857, 2.37285714286, 329.207142857, 16.438, 17081.0628571,4.85714285714,0.86, 0.0, 4.24, 0.02, 0.01, 1.0, 0.0, 0.0, 93.88
